probability_1_1;pdata_average_1;pdata_average_2;pdata_average_3;pdata_average_4;pdata_before_me_1;pdata_before_me_2;pdata_before_me_3;pdata_before_me_4;i_call_preflop;i_bet_preflop;i_call_flop;i_bet_flop;i_call_river;i_bet_river;i_call_turn;i_bet_turn;potheight;potheight_after_preflop;potheight_after_flop;potheight_after_river;to_call;decision;num_active_players;num_active_players_before_me;feat_1;feat_2;feat_3;feat_4;feat_5;feat_6;feat_7;feat_8;feat_9;feat_10;feat_11;feat_12;feat_13;feat_14;feat_15;label
0.3525252525252526;0.725;0.085;0.0;0.125;0.62;0.0;0.0;0.0;4.5;0.0;0.0;1.0;0.0;0.0;0.0;0.0;17.0;10.5;16.0;17.0;0.0;0.0;2;1;0.125;1.0;0.0;0.0;0.6;0.4166666666666667;0.5;0.5;0.0;0.5;0.0;0.0;1.0;0.0;0.3666666666666667;-0.21666666666666667
0.8131313131313131;0.7949999999999999;0.28;0.365;0.055;0.73;0.27;0.4;0.0;1.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;12.0;3.0;5.0;10.0;0.0;4.0;2;2;0.25;1.0;1.0;0.0;0.4;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;-1.2333333333333334
0.6444444444444445;0.86;0.29;0.33;0.11;0.86;0.29;0.33;0.11;1.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;12.0;3.0;3.0;6.0;3.0;0.375;1;1;0.25;1.0;0.0;0.0;0.4;0.8333333333333334;0.0;0.0;0.5;1.0;0.0;0.5;0.0;0.0;0.13333333333333333;-0.26666666666666666
0.8;0.76;0.24;0.25;0.11;0.76;0.24;0.25;0.11;4.5;0.0;0.0;3.0;0.0;0.0;0.0;0.0;32.4;7.0;19.5;25.9;0.0;0.0;1;0;0.625;1.0;0.0;0.0;0.8;0.75;0.25;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.35000000000000003;-1.6333333333333333
0.8;0.76;0.24;0.25;0.11;0.76;0.24;0.25;0.11;4.5;0.0;0.0;3.0;0.0;0.0;0.0;0.0;66.7;7.0;19.5;25.9;34.1;4.2625;1;0;0.625;1.0;0.0;0.0;0.8;0.75;0.25;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.35000000000000003;-1.6333333333333333
0.6747474747474748;0.89;0.17;0.17;0.17;0.89;0.17;0.17;0.17;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.8;10.0;36.0;47.9;0.0;0.0;1;0;0.125;0.0;0.0;0.0;0.6;0.8333333333333334;0.5;0.0;0.5;0.0;0.0;0.5;1.0;0.0;0.3666666666666667;1.603333333333333
0.6747474747474748;0.89;0.17;0.17;0.17;0.89;0.17;0.17;0.17;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79.5;10.0;36.0;47.9;19.7;2.4625;1;0;0.125;0.0;0.0;0.0;0.6;0.8333333333333334;0.5;0.0;0.5;0.0;0.0;0.5;1.0;0.0;0.3666666666666667;1.603333333333333
0.35757575757575755;0.74;0.0;0.0;0.0;0.74;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;13.0;1.5;4.0;5.0;0.0;2.0;1;1;0.125;1.0;0.0;0.0;0.6;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19999999999999998;-0.7333333333333333
0.4626262626262626;0.62;0.31;0.5;0.0;0.62;0.31;0.5;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;20.0;6.0;14.0;20.0;0.0;0.0;1;0;0.125;0.0;0.0;0.0;0.6;1.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3666666666666667;-0.75
0.4626262626262626;0.62;0.31;0.5;0.0;0.62;0.31;0.5;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;35.0;6.0;14.0;20.0;15.0;1.875;1;0;0.125;0.0;0.0;0.0;0.6;1.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3666666666666667;-0.75
